time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450800000	12.2036	21.055	4.91042	3.05688	0.587005	lidar	0.166704	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9658	21.0749	4.90516	3.08763	0.594238	radar	0.910312	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7231	21.0439	4.88461	3.13302	0.612985	lidar	1.81767	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4771	21.0306	4.8816	3.16734	0.615352	radar	1.05373	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.261	21.0232	4.84168	3.19668	0.61531	lidar	0.685186	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0079	20.9846	4.85164	3.23547	0.622768	radar	4.08817	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7976	20.9454	4.80262	3.27215	0.63125	lidar	0.53331	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5484	20.9471	4.79395	3.26985	0.556433	radar	5.75619	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2655	20.9776	4.87346	3.26933	0.519717	lidar	3.45672	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0261	20.9595	4.87113	3.28744	0.507982	radar	1.00749	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.83322	20.9204	4.80004	3.31588	0.514023	lidar	1.68046	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.59645	20.9141	4.7745	3.30827	0.443356	radar	2.03951	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.40477	20.8626	4.70953	3.33753	0.45362	lidar	1.06302	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.18335	20.8203	4.70149	3.36136	0.460517	radar	1.50377	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.88949	20.7915	4.799	3.3682	0.438956	lidar	2.15594	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.67527	20.7105	4.77851	3.40634	0.465988	radar	4.54652	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.39908	20.6278	4.84911	3.43195	0.466931	lidar	2.78064	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17029	20.5469	4.85415	3.46352	0.484223	radar	0.149274	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.92819	20.4674	4.8735	3.48615	0.481858	lidar	0.117193	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.7127	20.3799	4.87566	3.52335	0.516205	radar	3.54626	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.40241	20.3236	4.99455	3.52153	0.480302	lidar	3.35689	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.16963	20.2272	4.994	3.54363	0.474233	radar	0.212529	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.90483	20.1451	5.04273	3.55416	0.457337	lidar	0.606572	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.67823	20.0539	5.02849	3.56945	0.442795	radar	0.454836	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.43061	19.963	5.05315	3.58188	0.430709	lidar	0.263127	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.21292	19.8692	5.03627	3.59995	0.428938	radar	2.84035	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.94997	19.7764	5.08447	3.60609	0.409706	lidar	0.682985	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.72166	19.629	5.1236	3.6499	0.458307	radar	1.99873	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.54765	19.5045	5.0541	3.68177	0.470506	lidar	1.45029	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.34712	19.3548	5.04602	3.717	0.488555	radar	1.76276	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.13421	19.2528	5.03317	3.72701	0.471671	lidar	1.91674	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.94159	19.1419	4.97351	3.73375	0.435507	radar	4.68539	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.78148	18.9896	4.91852	3.77066	0.455391	lidar	0.762097	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
